cc_account_no,card_number,transaction_id,card_type,transaction_date,merchant_code,area_of_expense,transaction_amt,transaction_mode
785302000,XXXXXXXXXXXX1631,685302000XXXX1631431011003553754,Platinum,1/1/2019,1003553754,UTILITIES,58379,POS
785302000,XXXXXXXXXXXX5370,685302000XXXX5370431391001996750,Platinum,2/8/2019,1001996750,TRAVEL,69920,POS
785302000,XXXXXXXXXXXX3305,685302000XXXX3305431701050886991,Platinum,3/11/2019,1050886991,UTILITIES,36795,POS
785302000,XXXXXXXXXXXX9660,685302000XXXX9660432281036537213,Platinum,5/8/2019,1036537213,TRAVEL,19933,POS
785302000,XXXXXXXXXXXX5353,685302000XXXX5353432571027095550,Platinum,6/6/2019,1027095550,ENTERTAINMENT,66518,POS
785302000,XXXXXXXXXXXX5149,685302000XXXX5149432571098881973,Platinum,6/6/2019,1098881973,ENTERTAINMENT,59448,POS
785302000,XXXXXXXXXXXX2591,685302000XXXX2591432921056640337,Platinum,7/11/2019,1056640337,TRAVEL,55386,POS
785302000,XXXXXXXXXXXX7251,685302000XXXX7251433131050212776,Platinum,8/1/2019,1050212776,PETROL PUMPS,90313,POS
785302000,XXXXXXXXXXXX7852,685302000XXXX7852433241065108958,Platinum,8/12/2019,1065108958,UTILITIES,42228,POS
785302000,XXXXXXXXXXXX3630,685302000XXXX3630433491028760778,Platinum,9/6/2019,1028760778,WITHDRAWAL,63698,ATM
785302000,XXXXXXXXXXXX9911,685302000XXXX9911433511041578125,Platinum,9/8/2019,1041578125,TRAVEL,993,POS
785302000,XXXXXXXXXXXX9390,685302000XXXX9390433541007569081,Platinum,9/11/2019,1007569081,WITHDRAWAL,22417,ATM
785302000,XXXXXXXXXXXX8689,685302000XXXX8689433821066916141,Platinum,10/9/2019,1066916141,FOOD,25220,POS
785302000,XXXXXXXXXXXX7598,685302000XXXX7598433841042622776,Platinum,10/11/2019,1042622776,FOOD,30880,POS
785302000,XXXXXXXXXXXX8415,685302000XXXX8415434081064634147,Platinum,11/4/2019,1064634147,UTILITIES,22319,POS
785302000,XXXXXXXXXXXX5913,685302000XXXX5913434101094635408,Platinum,11/6/2019,1094635408,GROCERIES,93126,POS
785302000,XXXXXXXXXXXX9812,685302000XXXX9812434351067541083,Platinum,12/1/2019,1067541083,UTILITIES,40574,POS
785302000,XXXXXXXXXXXX7060,685302000XXXX7060434351020406612,Platinum,12/1/2019,1020406612,GROCERIES,70018,POS
785302000,XXXXXXXXXXXX1924,685302000XXXX192414/11/20181046090560,Platinum,14/11/2019,1046090560,UTILITIES,82583,POS
785302000,XXXXXXXXXXXX7403,685302000XXXX740315/08/20181066558222,Platinum,15/8/2019,1066558222,UTILITIES,44179,POS
785302000,XXXXXXXXXXXX4973,685302000XXXX497316/03/20181061109603,Platinum,16/3/2019,1061109603,UTILITIES,28342,POS
785302000,XXXXXXXXXXXX2241,685302000XXXX224119/03/20181008223115,Platinum,19/3/2019,1008223115,FOOD,78194,POS
785302000,XXXXXXXXXXXX9833,685302000XXXX983319/10/20181077495720,Platinum,19/10/2019,1077495720,FOOD,285,POS
785302000,XXXXXXXXXXXX2593,685302000XXXX259320/03/20181038097519,Platinum,20/3/2019,1038097519,PETROL PUMPS,98188,POS
785302000,XXXXXXXXXXXX5348,685302000XXXX534822/07/20181049048161,Platinum,22/7/2019,1049048161,ENTERTAINMENT,2885,POS
785302000,XXXXXXXXXXXX3335,685302000XXXX333522/11/20181050262852,Platinum,22/11/2019,1050262852,TRAVEL,90999,POS
785302000,XXXXXXXXXXXX1049,685302000XXXX104923/03/20181073287644,Platinum,23/3/2019,1073287644,WITHDRAWAL,25153,ATM
785302000,XXXXXXXXXXXX9466,685302000XXXX946623/11/20181090031197,Platinum,23/11/2019,1090031197,UTILITIES,66408,POS
785302000,XXXXXXXXXXXX3918,685302000XXXX391827/08/20181078752171,Platinum,27/8/2019,1078752171,TRAVEL,97104,POS
785302000,XXXXXXXXXXXX5520,685302000XXXX552028/09/20181060841529,Platinum,28/9/2019,1060841529,TRAVEL,17988,POS
785302000,XXXXXXXXXXXX8272,685302000XXXX827228/11/20181088852177,Platinum,28/11/2019,1088852177,TRAVEL,10289,POS
785302000,XXXXXXXXXXXX8504,685302000XXXX850429/03/20181082659340,Platinum,29/3/2019,1082659340,FOOD,21947,POS
785302000,XXXXXXXXXXXX1949,685302000XXXX194930/05/20181019867665,Platinum,30/5/2019,1019867665,TRAVEL,38823,POS
785302000,XXXXXXXXXXXX6476,685302000XXXX647631/08/20181025240335,Platinum,31/8/2019,1025240335,WITHDRAWAL,72302,ATM
785302001,XXXXXXXXXXXX3822,685302001XXXX3822431691023520277,Membership,3/10/2019,1023520277,TRAVEL,80132,POS
785302001,XXXXXXXXXXXX3158,685302001XXXX3158432871014797453,Membership,7/6/2019,1014797453,UTILITIES,35424,POS
785302001,XXXXXXXXXXXX7344,685302001XXXX7344433211046183890,Membership,8/9/2019,1046183890,WITHDRAWAL,49126,ATM
785302001,XXXXXXXXXXXX2513,685302001XXXX2513433551016821404,Membership,9/12/2019,1016821404,PETROL PUMPS,42116,POS
785302001,XXXXXXXXXXXX5277,685302001XXXX5277434071060004456,Membership,11/3/2019,1060004456,FOOD,99263,POS
785302001,XXXXXXXXXXXX5597,685302001XXXX559713/11/20181043609806,Membership,13/11/2019,1043609806,ENTERTAINMENT,79213,POS
785302001,XXXXXXXXXXXX9516,685302001XXXX951614/06/20181084784027,Membership,14/6/2019,1084784027,FOOD,76843,POS
785302001,XXXXXXXXXXXX2885,685302001XXXX288515/04/20181085557534,Membership,15/4/2019,1085557534,GROCERIES,89507,POS
785302001,XXXXXXXXXXXX2777,685302001XXXX277716/11/20181023659760,Membership,16/11/2019,1023659760,PETROL PUMPS,74615,POS
785302001,XXXXXXXXXXXX5838,685302001XXXX583817/10/20181010268772,Membership,17/10/2019,1010268772,TRAVEL,12025,POS
785302001,XXXXXXXXXXXX8415,685302001XXXX841519/03/20181009673897,Membership,19/3/2019,1009673897,GROCERIES,72777,POS
785302001,XXXXXXXXXXXX8693,685302001XXXX869319/05/20181006696136,Membership,19/5/2019,1006696136,PETROL PUMPS,76470,POS
785302001,XXXXXXXXXXXX1003,685302001XXXX100321/01/20181013786795,Membership,21/1/2019,1013786795,PETROL PUMPS,15069,POS
785302001,XXXXXXXXXXXX9861,685302001XXXX986121/08/20181098717408,Membership,21/8/2019,1098717408,ENTERTAINMENT,45414,POS
785302001,XXXXXXXXXXXX4209,685302001XXXX420924/11/20181066798624,Membership,24/11/2019,1066798624,FOOD,14744,POS
785302001,XXXXXXXXXXXX5904,685302001XXXX590425/04/20181066594282,Membership,25/4/2019,1066594282,PETROL PUMPS,1674,POS
785302001,XXXXXXXXXXXX6375,685302001XXXX637526/03/20181065531708,Membership,26/3/2019,1065531708,UTILITIES,96966,POS
785302001,XXXXXXXXXXXX9421,685302001XXXX942127/06/20181037268707,Membership,27/6/2019,1037268707,TRAVEL,22281,POS
785302002,XXXXXXXXXXXX6989,685302002XXXX6989431021046833084,Platinum,1/2/2019,1046833084,UTILITIES,98126,POS
785302002,XXXXXXXXXXXX3431,685302002XXXX3431431391094356821,Platinum,2/8/2019,1094356821,UTILITIES,12831,POS
785302002,XXXXXXXXXXXX1531,685302002XXXX1531432901044507463,Platinum,7/9/2019,1044507463,TRAVEL,48977,POS
785302002,XXXXXXXXXXXX8145,685302002XXXX8145434091093402028,Platinum,11/5/2019,1093402028,ENTERTAINMENT,43997,POS
785302002,XXXXXXXXXXXX9732,685302002XXXX973214/12/20181081837419,Platinum,14/12/2019,1081837419,ENTERTAINMENT,20014,POS
785302002,XXXXXXXXXXXX1458,685302002XXXX145820/03/20181066857892,Platinum,20/3/2019,1066857892,UTILITIES,943,POS
785302002,XXXXXXXXXXXX2466,685302002XXXX246622/02/20181096414780,Platinum,22/2/2019,1096414780,PETROL PUMPS,33313,POS
785302002,XXXXXXXXXXXX8454,685302002XXXX845426/11/20181077757195,Platinum,26/11/2019,1077757195,ENTERTAINMENT,90363,POS
785302002,XXXXXXXXXXXX8240,685302002XXXX824028/08/20181012746536,Platinum,28/8/2019,1012746536,FOOD,32108,POS
785302002,XXXXXXXXXXXX7625,685302002XXXX762531/05/20181083168942,Platinum,31/5/2019,1083168942,FOOD,97999,POS
784994640,XXXXXXXXXXXX6191,684994640XXXX6191431321053311417,Membership,2/1/2019,1053311417,TRAVEL,89645,POS
784994640,XXXXXXXXXXXX1384,684994640XXXX1384431951000330034,Membership,4/5/2019,1000330034,FOOD,78694,POS
784994640,XXXXXXXXXXXX2483,684994640XXXX2483431981080573638,Membership,4/8/2019,1080573638,ENTERTAINMENT,89325,POS
784994640,XXXXXXXXXXXX7599,684994640XXXX7599432241003074280,Membership,5/4/2019,1003074280,TRAVEL,92709,POS
784994640,XXXXXXXXXXXX1582,684994640XXXX1582433191034445836,Membership,8/7/2019,1034445836,WITHDRAWAL,67242,ATM
784994640,XXXXXXXXXXXX5896,684994640XXXX5896433221052599967,Membership,8/10/2019,1052599967,UTILITIES,49074,POS
784994640,XXXXXXXXXXXX3485,684994640XXXX3485433231090561041,Membership,8/11/2019,1090561041,GROCERIES,97524,POS
784994640,XXXXXXXXXXXX1858,684994640XXXX1858433451060154256,Membership,9/2/2019,1060154256,FOOD,72886,POS
784994640,XXXXXXXXXXXX2667,684994640XXXX2667433541063430101,Membership,9/11/2019,1063430101,GROCERIES,67517,POS
784994640,XXXXXXXXXXXX4282,684994640XXXX4282433751074246368,Membership,10/2/2019,1074246368,ENTERTAINMENT,38167,POS
784994640,XXXXXXXXXXXX6890,684994640XXXX6890434101065661197,Membership,11/6/2019,1065661197,FOOD,32884,POS
784994640,XXXXXXXXXXXX5888,684994640XXXX5888434151013791566,Membership,11/11/2019,1013791566,FOOD,18936,POS
784994640,XXXXXXXXXXXX6467,684994640XXXX646714/07/20181065858887,Membership,14/7/2019,1065858887,TRAVEL,40026,POS
784994640,XXXXXXXXXXXX6916,684994640XXXX691614/11/20181018582796,Membership,14/11/2019,1018582796,ENTERTAINMENT,61531,POS
784994640,XXXXXXXXXXXX3092,684994640XXXX309215/08/20181067326692,Membership,15/8/2019,1067326692,TRAVEL,71034,POS
784994640,XXXXXXXXXXXX9021,684994640XXXX902117/05/20181063149756,Membership,17/5/2019,1063149756,UTILITIES,75317,POS
784994640,XXXXXXXXXXXX1572,684994640XXXX157218/12/20181002775826,Membership,18/12/2019,1002775826,UTILITIES,4494,POS
784994640,XXXXXXXXXXXX2019,684994640XXXX201920/09/20181081902866,Membership,20/9/2019,1081902866,ENTERTAINMENT,47314,POS
784994640,XXXXXXXXXXXX2268,684994640XXXX226821/01/20181025538952,Membership,21/1/2019,1025538952,PETROL PUMPS,61880,POS
784994640,XXXXXXXXXXXX1079,684994640XXXX107923/10/20181043743068,Membership,23/10/2019,1043743068,FOOD,8941,POS
784994640,XXXXXXXXXXXX7030,684994640XXXX703027/05/20181069312856,Membership,27/5/2019,1069312856,ENTERTAINMENT,9165,POS
784994640,XXXXXXXXXXXX4184,684994640XXXX418430/10/20181032270020,Membership,30/10/2019,1032270020,GROCERIES,73424,POS
784994640,XXXXXXXXXXXX7967,684994640XXXX796730/12/20181080955633,Membership,30/12/2019,1080955633,PETROL PUMPS,87949,POS
785302007,XXXXXXXXXXXX1326,685302007XXXX1326431111087671979,Membership,1/11/2019,1087671979,WITHDRAWAL,17292,ATM
785302007,XXXXXXXXXXXX7076,685302007XXXX7076432011019338308,Membership,4/11/2019,1019338308,GROCERIES,42169,POS
785302007,XXXXXXXXXXXX7954,685302007XXXX7954432221092233330,Membership,5/2/2019,1092233330,FOOD,2331,POS
785302007,XXXXXXXXXXXX6825,685302007XXXX6825432231080154465,Membership,5/3/2019,1080154465,ENTERTAINMENT,94269,POS
785302007,XXXXXXXXXXXX9850,685302007XXXX9850432561030739764,Membership,6/5/2019,1030739764,UTILITIES,51795,POS
785302007,XXXXXXXXXXXX9522,685302007XXXX9522433131065169917,Membership,8/1/2019,1065169917,GROCERIES,22798,POS
785302007,XXXXXXXXXXXX5577,685302007XXXX5577434131020684354,Membership,11/9/2019,1020684354,TRAVEL,91696,POS
785302007,XXXXXXXXXXXX8074,685302007XXXX807413/05/20181050535552,Membership,13/5/2019,1050535552,GROCERIES,67313,POS
785302007,XXXXXXXXXXXX1797,685302007XXXX179713/09/20181038602253,Membership,13/9/2019,1038602253,FOOD,27289,POS
785302007,XXXXXXXXXXXX8369,685302007XXXX836914/12/20181034492399,Membership,14/12/2019,1034492399,GROCERIES,98134,POS
785302007,XXXXXXXXXXXX3437,685302007XXXX343717/04/20181019050093,Membership,17/4/2019,1019050093,ENTERTAINMENT,91436,POS
785302007,XXXXXXXXXXXX2787,685302007XXXX278719/08/20181046487452,Membership,19/8/2019,1046487452,TRAVEL,28917,POS
785302007,XXXXXXXXXXXX8750,685302007XXXX875020/02/20181027004624,Membership,20/2/2019,1027004624,UTILITIES,56429,POS
785302007,XXXXXXXXXXXX1151,685302007XXXX115121/02/20181045817062,Membership,21/2/2019,1045817062,ENTERTAINMENT,48989,POS
785302007,XXXXXXXXXXXX2099,685302007XXXX209922/02/20181003996695,Membership,22/2/2019,1003996695,GROCERIES,92128,POS
785302007,XXXXXXXXXXXX3042,685302007XXXX304223/08/20181021662831,Membership,23/8/2019,1021662831,FOOD,96945,POS
785302007,XXXXXXXXXXXX8945,685302007XXXX894526/04/20181037557462,Membership,26/4/2019,1037557462,TRAVEL,3417,POS
785302007,XXXXXXXXXXXX3753,685302007XXXX375326/06/20181049265712,Membership,26/6/2019,1049265712,FOOD,56061,POS
785302007,XXXXXXXXXXXX6760,685302007XXXX676027/03/20181031874257,Membership,27/3/2019,1031874257,PETROL PUMPS,22803,POS
785302007,XXXXXXXXXXXX1441,685302007XXXX144127/09/20181074079398,Membership,27/9/2019,1074079398,PETROL PUMPS,80073,POS
785302007,XXXXXXXXXXXX9275,685302007XXXX927528/04/20181092037150,Membership,28/4/2019,1092037150,UTILITIES,72105,POS
785302007,XXXXXXXXXXXX4430,685302007XXXX443030/06/20181012651580,Membership,30/6/2019,1012651580,TRAVEL,59367,POS
785302007,XXXXXXXXXXXX8869,685302007XXXX886931/05/20181043559950,Membership,31/5/2019,1043559950,UTILITIES,64568,POS
785302008,XXXXXXXXXXXX4379,685302008XXXX4379431021073553839,Platinum,1/2/2019,1073553839,TRAVEL,11078,POS
785302008,XXXXXXXXXXXX5794,685302008XXXX5794431411057066973,Platinum,2/10/2019,1057066973,UTILITIES,72445,POS
785302008,XXXXXXXXXXXX4204,685302008XXXX4204432211067597114,Platinum,5/1/2019,1067597114,GROCERIES,73991,POS
785302008,XXXXXXXXXXXX9334,685302008XXXX9334432281023807346,Platinum,5/8/2019,1023807346,GROCERIES,56381,POS
785302008,XXXXXXXXXXXX1492,685302008XXXX1492433451074754526,Platinum,9/2/2019,1074754526,UTILITIES,35490,POS
785302008,XXXXXXXXXXXX5585,685302008XXXX5585433521095228167,Platinum,9/9/2019,1095228167,UTILITIES,10192,POS
785302008,XXXXXXXXXXXX2736,685302008XXXX2736434111092166780,Platinum,11/7/2019,1092166780,FOOD,62456,POS
785302008,XXXXXXXXXXXX2059,685302008XXXX2059434381048240442,Platinum,12/4/2019,1048240442,TRAVEL,84055,POS
785302008,XXXXXXXXXXXX5614,685302008XXXX5614434401040293603,Platinum,12/6/2019,1040293603,TRAVEL,45951,POS
785302008,XXXXXXXXXXXX4774,685302008XXXX477414/04/20181087927948,Platinum,14/4/2019,1087927948,GROCERIES,8760,POS
785302008,XXXXXXXXXXXX8814,685302008XXXX881415/02/20181077750321,Platinum,15/2/2019,1077750321,TRAVEL,28067,POS
785302008,XXXXXXXXXXXX5251,685302008XXXX525117/09/20181014161913,Platinum,17/9/2019,1014161913,ENTERTAINMENT,77783,POS
785302008,XXXXXXXXXXXX2762,685302008XXXX276220/09/20181060949023,Platinum,20/9/2019,1060949023,TRAVEL,95871,POS
